country,memberships
http://www.wikidata.org/entity/Q668,United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | South Asian Association for Regional Cooperation | World Meteorological Organization | Antarctic Treaty System | Asian Development Bank | states with nuclear weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | BRICS | African Development Bank | International Telecommunication Union | Shanghai Cooperation Organisation | International Finance Corporation | Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Group on Earth Observations | ASEAN Regional Forum
http://www.wikidata.org/entity/Q672,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | International Development Association | Organisation for the Prohibition of Chemical Weapons"
http://www.wikidata.org/entity/Q27,European Union | United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | European Economic Community | Organization for Security and Co-operation in Europe | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Nordic Battle Group | Group on Earth Observations
http://www.wikidata.org/entity/Q28,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | European Economic Area | Universal Postal Union | Organization for Economic Cooperation and Development | Warsaw Pact | Visa Waiver Program | Organization for Security and Co-operation in Europe | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | COMECON | Visegrád Group | International Telecommunication Union | International Centre for Migration Policy Development | Organization of Turkic States | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Strategic Airlift Capability | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q29,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | United Nations Security Council | League of Nations | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | European Air Transport Command | European Southern Observatory | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | Central American Bank for Economic Integration | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | Organization of Ibero-American States | Organisation for Joint Armament Cooperation | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Pyrenees–Mediterranean Euroregion | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations | member states of the Organization of Ibero-American States | Q131720477
http://www.wikidata.org/entity/Q30,United Nations | NATO | UNESCO | World Trade Organization | Interpol | Universal Postal Union | G20 | United Nations Security Council | Organization for Economic Cooperation and Development | Organization of American States | World Meteorological Organization | Asia-Pacific Economic Cooperation | North American Free Trade Agreement | International Hydrographic Organization | International Telecommunication Union | Arctic Council | International Energy Agency | Organisation for the Prohibition of Chemical Weapons | Group of Ten | Strategic Airlift Capability | G7 | ABCANZ Armies | Movement Coordination Centre Europe | AUSCANNZUKUS | Air Force Interoperability Council | Combined Communications-Electronics Board | Group on Earth Observations | The Technical Cooperation Program
http://www.wikidata.org/entity/Q31,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | European Economic Area | Benelux | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | Organisation internationale de la Francophonie | European Air Transport Command | European Southern Observatory | Dutch Language Union | World Meteorological Organization | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | Organisation for Joint Armament Cooperation | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | European Payments Union | Nuclear Suppliers Group | Global Biodiversity Information Facility | Belgium–Luxembourg Economic Union | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q678,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes"
http://www.wikidata.org/entity/Q683,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency"
http://www.wikidata.org/entity/Q685,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency"
