country,countryLabel,iso2,iso3,area,population,life_expectancy,hdi,gdp_nominal,gdp_nominal_year,inception,driving_side_label,continents,governments,languages,currencies,border_count,memberships
http://www.wikidata.org/entity/Q34,Sweden,SE,SWE,447425.16,10609460,82.20488,0.947,585939170124,2022-01-01 00:00:00+00:00,0900-01-01T00:00:00Z,right,Europe,constitutional monarchy | representative democracy,Swedish,Swedish krona,3,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | League of Nations | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Union between Sweden and Norway | Kalmar Union | Organization for Security and Co-operation in Europe | Nordic Council | European Southern Observatory | European Free Trade Association | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | International Centre for Migration Policy Development | World Customs Organization | Partnership for Peace | International Finance Corporation | Eurocontrol | Arctic Council | Australia Group | Council of the Baltic Sea States | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | European Payments Union | Nuclear Suppliers Group | Strategic Airlift Capability | Treaty on Open Skies | Schengen Area | Nordic Battle Group | Movement Coordination Centre Europe | Barents Euro-Arctic Council | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q39,Switzerland,CH,CHE,41291,9104063,83,0.962,807706035352,2022-01-01 00:00:00+00:00,1848-09-12T00:00:00Z,right,Europe,federal republic | directorial system,French | German | Italian | Romansh,Swiss franc,6,United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | Organisation internationale de la Francophonie | European Southern Observatory | International Civil Defence Organisation | European Free Trade Association | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | African Development Bank | International Telecommunication Union | International Centre for Migration Policy Development | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | European Payments Union | Nuclear Suppliers Group | Schengen Area | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q858,Syria,SY,SYR,185180,23865423,72,0.577,,,1920-03-08T00:00:00Z,right,Asia,provisional government,Arabic,Syrian pound,5,United Nations | League of Arab States | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | Arab Bank for Economic Development in Africa
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,ST,STP,1001,204327,66.624,0.618,546680342,2022-01-01 00:00:00+00:00,1975-07-12T00:00:00Z,right,Africa,,Portuguese,São Tomé and Príncipe dobra,3,"United Nations | African Union | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation internationale de la Francophonie | World Meteorological Organization | Community of Portuguese Language Countries | Treaty on the Non-Proliferation of Nuclear Weapons | Economic Community of Central African States | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Gulf of Guinea Commission | AFRISTAT | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q865,Taiwan,TW,TWN,36193,23317031,79.12,0.911,,,1912-01-01T00:00:00Z,right,Asia,democracy | semi-presidential system | constitutional republic,Taiwanese Sign Language | Amis | Taiwanese Hokkien | Rukai | Bunun | Kanakanavu | Standard Taiwanese Mandarin | Paiwan | Yami | Atayal | Saaroa | Kavalan | Tsou | Seediq | Puyuma | Saisiyat | Q718269 | Taiwanese Hakka | Truku | Matsu dialect | Kinmen dialect | Wuqiu dialect,New Taiwan dollar,3,United Nations | World Trade Organization | United Nations Security Council | Visa Waiver Program | Asia-Pacific Economic Cooperation | Asian Development Bank | Central American Bank for Economic Integration | Western and Central Pacific Fisheries Commission | Inter-American Tropical Tuna Commission | Commission for the Conservation of Southern Bluefin Tuna
http://www.wikidata.org/entity/Q863,Tajikistan,TJ,TJK,143100,9504000,71.051,0.685,10492123388,2022-01-01 00:00:00+00:00,1991-09-09T00:00:00Z,right,Asia,presidential system,Tajik,Tajikistani somoni,4,United Nations | Commonwealth of Independent States | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | Organization for Security and Co-operation in Europe | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Collective Security Treaty Organization | International Telecommunication Union | Shanghai Cooperation Organisation | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Commonwealth of Independent States Free Trade Area | Central Asian Cooperation Organization | Group on Earth Observations
http://www.wikidata.org/entity/Q924,Tanzania,TZ,TZA,947303,57310019,65.675,0.549,75709289056,2022-01-01 00:00:00+00:00,1964-04-26T00:00:00Z,left,Africa,,English | Swahili,Tanzanian shilling,10,"United Nations | African Union | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Southern African Development Community | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q869,Thailand,TH,THA,513119.5,66188503,80,0.8,495340592811,2022-01-01 00:00:00+00:00,1768-12-28T00:00:00Z,left,Asia,constitutional monarchy | parliamentary monarchy,Thai,baht,4,United Nations | Association of Southeast Asian Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Asia-Pacific Economic Cooperation | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Southeast Asia Treaty Organization | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Group on Earth Observations | ASEAN Regional Forum
http://www.wikidata.org/entity/Q778,The Bahamas,BS,BHS,13878,399440,75.675,0.812,14338500000,2023-01-01 00:00:00+00:00,1973-07-10T00:00:00Z,left,North America,constitutional monarchy,English,Bahamian dollar,3,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organization of American States | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Caribbean Community | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | International Renewable Energy Agency | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Caribbean Development Bank | Caribbean Disaster Emergency Management Agency | Group on Earth Observations"
http://www.wikidata.org/entity/Q1005,The Gambia,GM,GMB,11300,2639916,61.193,0.5,2396111020,2023-01-01 00:00:00+00:00,1965-01-01T00:00:00Z,right,Africa,republic,English,dalasi,1,"United Nations | African Union | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Economic Community of West African States | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | African Groundnut Council | African Continental Free Trade Area"
