country,continents,governments,languages,currencies,border_count
http://www.wikidata.org/entity/Q924,Africa,,English | Swahili,Tanzanian shilling,10
http://www.wikidata.org/entity/Q928,Asia,republic,English | Filipino | Taglish,Philippine peso,6
http://www.wikidata.org/entity/Q954,Africa,,Northern Ndebele | Nambya | Zimbabwe Sign Language | Barwe | English | Xhosa | Ndau | Venda | Chewa | Khoisan | Kalanga | Shona | Tonga | Tswana | Tsonga | Sesotho,euro | United States dollar | yen | pound sterling | renminbi | Indian rupee | rand | Zimbabwean dollar | Australian dollar | Zimbabwe ZiG,4
http://www.wikidata.org/entity/Q929,Africa,,French | Sango,Central African CFA franc,7
http://www.wikidata.org/entity/Q945,Africa,,French,West African CFA franc,4
http://www.wikidata.org/entity/Q948,Africa,semi-presidential system | parliamentary republic,Arabic,Tunisian dinar,2
http://www.wikidata.org/entity/Q953,Africa,presidential system | representative democracy,English,Zambian Kwacha,8
http://www.wikidata.org/entity/Q833,Asia,federation | elective monarchy | federal monarchy | parliamentary monarchy | constitutional monarchy,Malay,Malaysian ringgit,5
http://www.wikidata.org/entity/Q836,Asia,republic,Burmese,kyat,5
http://www.wikidata.org/entity/Q837,Asia,people's republic | federal republic,Nepali,Nepalese rupee,2
http://www.wikidata.org/entity/Q842,Asia,absolute monarchy,Arabic,Omani rial,4
http://www.wikidata.org/entity/Q843,Asia,federal republic | parliamentary republic,Urdu | English,Pakistani rupee,4
http://www.wikidata.org/entity/Q846,Asia,constitutional monarchy,Arabic,Qatari riyal,2
http://www.wikidata.org/entity/Q851,Asia,monarchy | absolute monarchy | islamic theocracy,Arabic,Saudi riyal,10
http://www.wikidata.org/entity/Q854,Asia,republic,Tamil | Sinhala,Sri Lankan rupee,1
http://www.wikidata.org/entity/Q858,Asia,provisional government,Arabic,Syrian pound,5
http://www.wikidata.org/entity/Q863,Asia,presidential system,Tajik,Tajikistani somoni,4
http://www.wikidata.org/entity/Q865,Asia,democracy | semi-presidential system | constitutional republic,Taiwanese Sign Language | Amis | Taiwanese Hokkien | Rukai | Bunun | Kanakanavu | Standard Taiwanese Mandarin | Paiwan | Yami | Atayal | Saaroa | Kavalan | Tsou | Seediq | Puyuma | Saisiyat | Q718269 | Taiwanese Hakka | Truku | Matsu dialect | Kinmen dialect | Wuqiu dialect,New Taiwan dollar,3
